1 3738947
2 258752248
3 137306482
4 3735039
5 258752415
6 137298076
7 3732147
8 86753630
9 171993005
10 137295007
11 3734656
12 258752234
13 137301990
14 3741583
15 262753368
16 133290985
17 3728999
18 262752539
19 133298610
20 3718018
21 86753331
22 175992725
23 133299211
24 3738203
25 262754254
26 133298547
27 3740299
28 262752130
29 133299108
30 3732672
31 262752261
32 133298104
33 3736565
34 86754942
35 175993189
36 137300514
37 262752074
38 137299764
39 262751153
40 137300810
41 262747068
42 137302105
43 86751619
44 175992400
45 137295016
46 262760537
47 137299978
48 262750035
49 137298245
50 262752996
51 137300474
52 86753370
53 175992409
54 137300253
55 262751612
56 137298726
57 262751751
58 137299390
59 262752135
60 137300895
61 86752987
62 175992980
63 137300787
64 262752165
65 137300149
66 402749197
67 258751096
68 137300395
69 3746124
70 86754226
71 171992764
72 137297033
73 3736517
74 258752493
75 137301882
76 3739589
77 258757304
78 137296271
79 3739320
80 258751703
81 137300868
