1 1371369
4 99804305
7 99801288
8 1370170
11 95802353
12 5368828
15 99800606
18 95783444
19 5365774
22 95801585
23 1371011
26 99801982
29 99800722
32 99801557
33 1371402
36 99802301
39 95801755
40 5367974
43 99801047
46 95800951
47 5365117
50 99802181
53 95798866
54 1370551
57 99799025
60 99800606
61 1372341
64 95799385
65 5368133
68 99802003
71 95796863
72 5367889
75 95800912
76 1374844
79 99802255
82 99801272
85 99799992
88 99799601
89 1369539
92 95802233
93 5367916
96 99802337
99 95797494
100 5365976
103 99801763
106 95798873
107 1371028
110 99792863
113 99800567
116 99798943
117 1370611
120 99801046
123 99800942
126 95800306
127 5367570
130 99801470
133 95797480
134 5366593
137 99798899
140 95796443
