2 3998252
3 394471361
4 3446352
6 398472518
8 402471794
10 394470947
11 3445881
13 398472514
15 3997771
16 398472522
18 398473824
19 3445979
21 394469259
23 3997977
24 398473493
26 398472089
27 3445769
29 398467945
31 398470537
33 3997795
34 394472613
36 3997762
37 398473393
39 402473252
41 394470020
43 3997349
44 398473579
46 3998470
47 394473366
48 3446264
50 398473439
52 402473212
54 394470958
55 3446207
57 398473499
59 3999706
60 398473595
62 398472550
63 3446237
65 394473276
67 3997026
68 398474048
70 398472458
71 3445578
73 398473330
75 398472339
77 3998092
78 394472307
79 3445754
81 398473381
83 3997355
84 398472041
86 398471981
88 398470236
90 3997351
91 398473844
93 398473210
95 3997830
96 398473557
98 394470946
99 3446011
101 398476380
103 3998071
104 398472224
