0 999968870
1 999984323
2 1000051156
3 999950633
4 1000030599
5 1000019133
6 396406518
7 603539036
8 1000097536
9 999954847
10 999960667
11 999996243
12 1000051745
13 999968472
14 1000003332
15 396187091
16 603801747
17 999993022
18 999985888
19 999994601
20 1000020448
21 1000082864
22 999948042
23 999948500
24 396000357
25 604265502
26 999816942
27 999961904
28 1003595360
29 996366407
30 1000018037
31 1000053858
32 999963337
33 395718303
34 604270721
35 1000042100
36 999953299
37 1000017297
38 395617647
39 604373517
40 1000030715
41 999955422
42 999974315
43 1000074011
