0 999999930
1 999999884
2 1000000353
3 999997689
4 1000002645
5 999996324
6 1000005270
7 999998197
8 1000000738
9 999999588
10 999997621
11 1000002227
12 1000000242
13 999999686
14 1000000143
15 999998954
16 1000002283
17 999998702
18 999999929
19 999999861
20 1000000134
21 1000000161
22 1000000624
23 999998759
24 1000015102
25 999985497
26 999999925
27 1000002704
28 999994797
29 1000002377
30 999999928
31 1000000262
32 1000000912
33 999999316
34 999999606
35 1000000048
36 1000004475
37 999995956
38 999999187
